Date,A,Ae
01/07/1966,1.4227096987917989,1.165974173767756
01/10/1966,1.4353647642213183,1.1647064243624652
01/01/1967,1.4662661157975716,1.173336097661978
01/04/1967,1.4775594777732908,1.169203154214411
01/07/1967,1.4706553996837903,1.1687063278949852
01/10/1967,1.4819476551180468,1.1564392854243708
01/01/1968,1.5091682032588838,1.1619898293245483
01/04/1968,1.5201500411443207,1.164999183
01/07/1968,1.5118752445697343,1.1612981033545955
01/10/1968,1.5012806469744435,1.153612425905007
01/01/1969,1.5049134463986966,1.1590509382280765
01/04/1969,1.490913904913053,1.1527809038232637
01/07/1969,1.487682362637674,1.1430599511939536
01/10/1969,1.4813118346922909,1.1237813448232397
01/01/1970,1.501988397999888,1.1155212922690954
01/04/1970,1.529219621498467,1.1079447398171005
01/07/1970,1.5505781083598185,1.112837170170412
01/10/1970,1.5460579374167664,1.105515289646653
01/01/1971,1.5736788665867023,1.137663498077491
01/04/1971,1.5729058650859824,1.1437743339579134
01/07/1971,1.6065420120730505,1.1528579472857188
01/10/1971,1.573073561,1.144703843445321
01/01/1972,1.583309205299109,1.1498705994282563
01/04/1972,1.6048562747690245,1.1673382725836037
01/07/1972,1.607884211990968,1.169233421185634
01/10/1972,1.6142847841572807,1.1718418568920508
01/01/1973,1.6407771430678053,1.1876127111387298
01/04/1973,1.636643743980306,1.1838606707924968
01/07/1973,1.6108705288790046,1.189398761432828
01/10/1973,1.6121009713831271,1.2054571424415226
01/01/1974,1.6086589346262246,1.255562991005338
01/04/1974,1.6235301921233063,1.2388206326448052
01/07/1974,1.5902923807506493,1.211434472857237
01/10/1974,1.6209544893716437,1.233476748
01/01/1975,1.6590909082288885,1.2350610658559051
01/04/1975,1.675357667615019,1.3112408976576773
01/07/1975,1.666317067690746,1.313020984387283
01/10/1975,1.6519441669739774,1.327797734649301
01/01/1976,1.6569092455493415,1.336121491659669
01/04/1976,1.6708988033015766,1.3088529075598252
01/07/1976,1.6702536024652497,1.3240320323962298
01/10/1976,1.6920415077166493,1.2708009936220053
01/01/1977,1.707127876355305,1.3278384209259508
01/04/1977,1.689272049788022,1.3277470759489816
01/07/1977,1.7188368909242426,1.3458152840421445
01/10/1977,1.690306811248666,1.369264594786056
01/01/1978,1.702835594004723,1.363760327253321
01/04/1978,1.7085446536980249,1.4202479788681548
01/07/1978,1.7141505806253845,1.432638785127327
01/10/1978,1.7148053411948911,1.4538075405066353
01/01/1979,1.7036568549324242,1.3939926640075335
01/04/1979,1.7323211278360655,1.4240603528571212
01/07/1979,1.7214153699461423,1.458695602935636
01/10/1979,1.719529118309913,1.4538470073637673
01/01/1980,1.7610389508596729,1.4870678493254073
01/04/1980,1.7414260702635425,1.51404204
01/07/1980,1.7215187655430662,1.5366973869672482
01/10/1980,1.702329068450402,1.5167356512754269
01/01/1981,1.743381908878635,1.6264473919654732
01/04/1981,1.7123687235054923,1.602632269973933
01/07/1981,1.7451104297482474,1.6260887890145923
01/10/1981,1.7343889034305275,1.6188446441912832
